Year,Province,District,Medium,Gender,Admissions
2023,Uva,Monaragala,Sinhala,Male,4779
2023,Uva,Monaragala,Sinhala,Female,4742
2023,Uva,Monaragala,Tamil,Male,1742
2023,Uva,Monaragala,Tamil,Female,1745
2023,Uva,Monaragala,English,Male,0
2023,Uva,Monaragala,English,Female,0
2023,Sabaragamuwa,Ratnapura,Sinhala,Male,11877
2023,Sabaragamuwa,Ratnapura,Sinhala,Female,11379
2023,Sabaragamuwa,Ratnapura,Tamil,Male,1869
2023,Sabaragamuwa,Ratnapura,Tamil,Female,1924
2023,Sabaragamuwa,Ratnapura,English,Male,0
2023,Sabaragamuwa,Ratnapura,English,Female,0
2023,Sabaragamuwa,Kegalle,Sinhala,Male,7236
2023,Sabaragamuwa,Kegalle,Sinhala,Female,7017
2023,Sabaragamuwa,Kegalle,Tamil,Male,893
2023,Sabaragamuwa,Kegalle,Tamil,Female,914
2023,Sabaragamuwa,Kegalle,English,Male,0
2023,Sabaragamuwa,Kegalle,English,Female,0
2024,Western,Colombo,Sinhala,Male,8565
2024,Western,Colombo,Sinhala,Female,8269
2024,Western,Colombo,Tamil,Male,1132
2024,Western,Colombo,Tamil,Female,1178
2024,Western,Colombo,English,Male,0
2024,Western,Colombo,English,Female,0
2024,Western,Gampaha,Sinhala,Male,9888
2024,Western,Gampaha,Sinhala,Female,9785
2024,Western,Gampaha,Tamil,Male,725
2024,Western,Gampaha,Tamil,Female,730
2024,Western,Gampaha,English,Male,0
2024,Western,Gampaha,English,Female,0
2024,Western,Kalutara,Sinhala,Male,6237
2024,Western,Kalutara,Sinhala,Female,5985
2024,Western,Kalutara,Tamil,Male,1129
2024,Western,Kalutara,Tamil,Female,1213
2024,Western,Kalutara,English,Male,0
2024,Western,Kalutara,English,Female,0
2024,Central,Kandy,Sinhala,Male,6453
2024,Central,Kandy,Sinhala,Female,6540
2024,Central,Kandy,Tamil,Male,2463
2024,Central,Kandy,Tamil,Female,2348
2024,Central,Kandy,English,Male,0
2024,Central,Kandy,English,Female,0
2024,Central,Matale,Sinhala,Male,3006
2024,Central,Matale,Sinhala,Female,2990
2024,Central,Matale,Tamil,Male,714
2024,Central,Matale,Tamil,Female,702
2024,Central,Matale,English,Male,0
2024,Central,Matale,English,Female,0
2024,Central,Nuwaraeliya,Sinhala,Male,1989
2024,Central,Nuwaraeliya,Sinhala,Female,1985
2024,Central,Nuwaraeliya,Tamil,Male,3162
2024,Central,Nuwaraeliya,Tamil,Female,3136
2024,Central,Nuwaraeliya,English,Male,0
2024,Central,Nuwaraeliya,English,Female,0
2024,Southern,Galle,Sinhala,Male,7293
2024,Southern,Galle,Sinhala,Female,6991
2024,Southern,Galle,Tamil,Male,169
2024,Southern,Galle,Tamil,Female,170
2024,Southern,Galle,English,Male,92
2024,Southern,Galle,English,Female,68
2024,Southern,Matara,Sinhala,Male,5447
2024,Southern,Matara,Sinhala,Female,5088
2024,Southern,Matara,Tamil,Male,303
2024,Southern,Matara,Tamil,Female,261
2024,Southern,Matara,English,Male,0
2024,Southern,Matara,English,Female,0
2024,Southern,Hambantota,Sinhala,Male,5151
2024,Southern,Hambantota,Sinhala,Female,4993
2024,Southern,Hambantota,Tamil,Male,93
2024,Southern,Hambantota,Tamil,Female,113
2024,Southern,Hambantota,English,Male,0
2024,Southern,Hambantota,English,Female,0
2024,Northern,Jaffna,Sinhala,Male,0
2024,Northern,Jaffna,Sinhala,Female,0
2024,Northern,Jaffna,Tamil,Male,3798
2024,Northern,Jaffna,Tamil,Female,3678
2024,Northern,Jaffna,English,Male,0
2024,Northern,Jaffna,English,Female,0
2024,Northern,Mannar,Sinhala,Male,4
2024,Northern,Mannar,Sinhala,Female,2
2024,Northern,Mannar,Tamil,Male,1064
2024,Northern,Mannar,Tamil,Female,986
2024,Northern,Mannar,English,Male,0
2024,Northern,Mannar,English,Female,0
2024,Northern,Vavuniya,Sinhala,Male,160
2024,Northern,Vavuniya,Sinhala,Female,135
2024,Northern,Vavuniya,Tamil,Male,1215
2024,Northern,Vavuniya,Tamil,Female,1156
2024,Northern,Vavuniya,English,Male,0
2024,Northern,Vavuniya,English,Female,0
2024,Northern,Mullativu,Sinhala,Male,98
2024,Northern,Mullativu,Sinhala,Female,105
2024,Northern,Mullativu,Tamil,Male,863
2024,Northern,Mullativu,Tamil,Female,799
2024,Northern,Mullativu,English,Male,0
2024,Northern,Mullativu,English,Female,0
2024,Northern,Kilinochchi,Sinhala,Male,0
2024,Northern,Kilinochchi,Sinhala,Female,0
2024,Northern,Kilinochchi,Tamil,Male,918
2024,Northern,Kilinochchi,Tamil,Female,965
2024,Northern,Kilinochchi,English,Male,0
2024,Northern,Kilinochchi,English,Female,0
2024,Eastern,Batticaloa,Sinhala,Male,1
2024,Eastern,Batticaloa,Sinhala,Female,2
2024,Eastern,Batticaloa,Tamil,Male,5336
2024,Eastern,Batticaloa,Tamil,Female,5326
2024,Eastern,Batticaloa,English,Male,0
2024,Eastern,Batticaloa,English,Female,0
2024,Eastern,Ampara,Sinhala,Male,2401
2024,Eastern,Ampara,Sinhala,Female,2214
2024,Eastern,Ampara,Tamil,Male,4859
2024,Eastern,Ampara,Tamil,Female,4636
2024,Eastern,Ampara,English,Male,0
2024,Eastern,Ampara,English,Female,0
2024,Eastern,Trincomalee,Sinhala,Male,950
2024,Eastern,Trincomalee,Sinhala,Female,895
2024,Eastern,Trincomalee,Tamil,Male,3505
2024,Eastern,Trincomalee,Tamil,Female,3291
2024,Eastern,Trincomalee,English,Male,0
2024,Eastern,Trincomalee,English,Female,0
2024,North Western,Kurunegala,Sinhala,Male,10985
2024,North Western,Kurunegala,Sinhala,Female,10453
2024,North Western,Kurunegala,Tamil,Male,1161
2024,North Western,Kurunegala,Tamil,Female,1173
2024,North Western,Kurunegala,English,Male,0
2024,North Western,Kurunegala,English,Female,0
2024,North Western,Puttlam,Sinhala,Male,4231
2024,North Western,Puttlam,Sinhala,Female,4101
2024,North Western,Puttlam,Tamil,Male,1924
2024,North Western,Puttlam,Tamil,Female,1911
2024,North Western,Puttlam,English,Male,0
2024,North Western,Puttlam,English,Female,0
2024,North Central,Anuradapura,Sinhala,Male,6674
2024,North Central,Anuradapura,Sinhala,Female,6476
2024,North Central,Anuradapura,Tamil,Male,817
2024,North Central,Anuradapura,Tamil,Female,855
2024,North Central,Anuradapura,English,Male,0
2024,North Central,Anuradapura,English,Female,0
2024,North Central,Polonnaruwa,Sinhala,Male,3277
2024,North Central,Polonnaruwa,Sinhala,Female,3068
2024,North Central,Polonnaruwa,Tamil,Male,500
2024,North Central,Polonnaruwa,Tamil,Female,491
2024,North Central,Polonnaruwa,English,Male,0
2024,North Central,Polonnaruwa,English,Female,0
2024,Uva,Badulla,Sinhala,Male,4708
2024,Uva,Badulla,Sinhala,Female,4625
2024,Uva,Badulla,Tamil,Male,1682
2024,Uva,Badulla,Tamil,Female,1586
2024,Uva,Badulla,English,Male,0
2024,Uva,Badulla,English,Female,0
2024,Uva,Monaragala,Sinhala,Male,4365
2024,Uva,Monaragala,Sinhala,Female,4146
2024,Uva,Monaragala,Tamil,Male,225
2024,Uva,Monaragala,Tamil,Female,225
2024,Uva,Monaragala,English,Male,0
2024,Uva,Monaragala,English,Female,0
